Percent Change,High Percent,Low Percent,Day,Month,Year,DayOfWeek,Y
1.072338105,1.012586452,0.981183889,26,9,1,1,0.989803702
0.989803702,1.087265908,0.997276954,27,9,1,2,1.082076708
1.082076708,1.014814111,0.976425621,28,9,1,3,0.996059067
0.996059067,1.009986653,0.960625417,29,9,1,4,0.994565736
0.994565736,1.050445744,0.997962998,30,9,1,5,1.045005752
1.045005752,1.011924964,0.976539926,1,10,1,6,1.009746365
1.009746365,1.016874475,0.991278872,2,10,1,0,0.999591197
0.999591197,1.007884034,0.961238725,3,10,1,1,0.980210392
0.980210392,1.009526679,0.969727875,4,10,1,2,0.977863799
0.977863799,1.034868561,0.9821509,5,10,1,3,1.024343992
1.024343992,1.023302633,0.994330541,6,10,1,4,1.011686028
1.011686028,1.023102084,0.988014364,7,10,1,5,1.014616071
1.014616071,1.042179539,0.996302809,8,10,1,6,1.039654628
1.039654628,1.057180649,0.987943708,9,10,1,0,1.035952035
1.035952035,1.03192046,0.988550497,10,10,1,1,0.997048666
0.997048666,1.02340765,0.990594953,11,10,1,2,1.012763992
1.012763992,1.126114174,0.998092948,12,10,1,3,1.126114174
1.126114174,1.077347863,0.992526599,13,10,1,4,1.037679932
1.037679932,1.035885974,0.987866532,14,10,1,5,1.033242864
1.033242864,1.006523941,0.935361478,15,10,1,6,0.976548148
0.974711144,1.020766548,0.982157326,16,10,1,0,1.014425617
1.014425617,1.002430851,0.958640807,17,10,1,1,0.972097303
0.972097303,1.000482263,0.913603401,18,10,1,2,0.995927553
0.996088308,1.028816325,0.989402335,19,10,1,3,1.021858805
1.021858805,1.066103955,0.984697996,20,10,1,4,1.05167936
1.05167936,1.032387245,0.980210575,21,10,1,5,1.00225259
1.00225259,1.010654946,0.95278527,22,10,1,6,0.99605434
0.99605434,1.011048154,0.943388658,23,10,1,0,0.986745558
0.986745558,1.000169388,0.925435328,24,10,1,1,0.93385392
0.93385392,1.042607607,0.975059404,25,10,1,2,1.040068201
1.040068201,1.041227764,0.992309034,26,10,1,3,1.026787583
1.026787583,1.018717304,0.966828589,27,10,1,4,0.979108635
0.979108635,1.018457482,0.980952711,28,10,1,5,0.993408042
0.993408042,1.099325953,0.991757762,29,10,1,6,1.073499109
1.073534034,1.012769003,0.979065342,30,10,1,0,0.996193698
0.996193698,1.055990072,0.994529987,31,10,1,1,1.053377529
1.053034633,1.044905491,0.985408817,1,11,1,2,1.044765936
1.044765936,1.089361513,1,2,11,1,3,1.042595506
1.042595506,1.059902061,0.987771894,3,11,1,4,1.018121512
1.017395513,1.048299986,0.973527354,4,11,1,5,1.030334406
1.030334406,1.031994351,0.989203944,5,11,1,6,1.003490046
1.003490046,1.005440152,0.938453211,6,11,1,0,0.941768726
0.941782259,1.037805526,0.999784461,7,11,1,1,1.02061989
1.020533674,1.107980626,0.989411732,8,11,1,2,1.048182253
1.048182253,1.00170598,0.945784751,9,11,1,3,0.95771318
0.95771318,1.026565305,0.89850763,10,11,1,4,0.92092123
0.92092123,1.038944226,0.943967224,11,11,1,5,0.965594444
0.965594444,1.023754318,0.86651209,12,11,1,6,0.927159734
0.927159734,1.150048485,0.991527875,13,11,1,0,1.109627261
1.109627261,1.031598314,0.984162514,14,11,1,1,1.011437332
1.011437332,1.111109427,0.999969684,15,11,1,2,1.104000243
1.103969926,1.093587807,0.977509268,16,11,1,3,1.078360566
1.078360566,1.018653628,0.959382202,17,11,1,4,0.980429606
0.980429606,1.020454545,0.968688312,18,11,1,5,1.010506494
1.010519481,1.041112967,0.98642848,19,11,1,6,1.033620357
1.033620357,1.031270982,0.988150598,20,11,1,0,1.02512869
1.025277895,1.014855868,0.948240944,21,11,1,1,0.982306358
0.982294231,1.025247225,0.998975296,22,11,1,2,1.016617489
1.016617489,1.003886089,0.973028113,23,11,1,3,0.973149554
0.973149554,1.039870717,0.985873662,24,11,1,4,1.023385829
1.023722764,1.068080697,0.99392942,25,11,1,5,1.067190833
1.067178643,1.082242478,0.999086195,26,11,1,6,1.064400429
1.064400429,1.044557005,0.999828297,27,11,1,0,1.04451408
1.044449691,1.02435115,0.990300639,28,11,1,1,1.017816411
1.017816411,1.152614577,0.90235211,29,11,1,2,0.993125379
0.994144963,1.085408205,0.91630788,30,11,1,3,1.010032494
