Price,Open,High,Low,Vol.,Day,Month,Year,DayOfWeek,
"3,871.60","3,654.40","3,967.30","3,611.40",123.59,12,8,2017,5,"3,871.60"
"4,062.60","3,871.60","4,189.40","3,847.30",158.59,13,8,2017,6,"4,062.60"
"4,327.90","4,062.60","4,336.70","3,978.90",128.46,14,8,2017,0,"4,327.90"
"4,161.70","4,327.90","4,436.50","3,837.10",211.58,15,8,2017,1,"4,161.70"
"4,387.40","4,161.70","4,398.10","3,938.60",112.9,16,8,2017,2,"4,387.40"
"4,278.90","4,387.40","4,487.50","4,194.10",127.48,17,8,2017,3,"4,278.90"
"4,105.40","4,278.90","4,362.70","3,978.30",144.4,18,8,2017,4,"4,105.40"
"4,150.50","4,105.40","4,189.70","3,957.50",113.72,19,8,2017,5,"4,150.50"
"4,066.60","4,150.50","4,182.30","4,034.40",70.16,20,8,2017,6,"4,066.60"
"4,005.10","4,066.60","4,097.30","3,966.90",90.65,21,8,2017,0,"4,005.10"
"4,089.70","4,005.10","4,142.70","3,612.20",169.14,22,8,2017,1,"4,089.70"
"4,141.10","4,089.70","4,255.60","4,070.50",96.65,23,8,2017,2,"4,141.10"
"4,318.40","4,141.10","4,364.10","4,111.70",72.36,24,8,2017,3,"4,318.40"
"4,364.40","4,318.40","4,461.70","4,292.60",82.9,25,8,2017,4,"4,364.40"
"4,352.30","4,364.40","4,379.30","4,263.30",46.16,26,8,2017,5,"4,352.30"
"4,345.80","4,352.30","4,408.20","4,321.10",42.52,27,8,2017,6,"4,345.80"
"4,390.30","4,345.80","4,403.10","4,195.20",75.49,28,8,2017,0,"4,390.30"
"4,597.30","4,390.30","4,647.80","4,350.20",100.8,29,8,2017,1,"4,597.30"
"4,583.00","4,597.30","4,644.10","4,491.80",68.47,30,8,2017,2,"4,583.00"
"4,735.10","4,583.00","4,765.10","4,580.10",72.29,31,8,2017,3,"4,735.10"
"4,921.90","4,735.10","4,925.20","4,690.20",102.01,1,9,2017,4,"4,921.90"
"4,573.80","4,921.90","4,976.50","4,448.60",160.77,2,9,2017,5,"4,573.80"
"4,612.90","4,573.80","4,719.80","4,397.70",102.82,3,9,2017,6,"4,612.90"
"4,267.50","4,612.90","4,621.00","4,098.60",170.4,4,9,2017,0,"4,267.50"
"4,409.10","4,267.50","4,496.70","4,004.60",158.41,5,9,2017,1,"4,409.10"
"4,618.70","4,409.10","4,660.00","4,401.50",110.93,6,9,2017,2,"4,618.70"
"4,635.60","4,618.70","4,690.50","4,493.20",70.53,7,9,2017,3,"4,635.60"
"4,326.50","4,635.60","4,699.60","4,130.90",180.36,8,9,2017,4,"4,326.50"
"4,335.10","4,326.50","4,402.10","4,185.30",77.09,9,9,2017,5,"4,335.10"
"4,245.90","4,335.10","4,338.10","4,032.10",108.08,10,9,2017,6,"4,245.90"
"4,217.90","4,245.90","4,364.40","4,134.60",88.76,11,9,2017,0,"4,217.90"
"4,158.90","4,217.90","4,387.80","4,075.00",107.04,12,9,2017,1,"4,158.90"
"3,870.30","4,158.90","4,174.60","3,752.00",186.54,13,9,2017,2,"3,870.30"
"3,243.10","3,870.30","3,930.70","3,219.00",317.59,14,9,2017,3,"3,243.10"
"3,713.80","3,243.10","3,824.40","2,979.90",448.55,15,9,2017,4,"3,713.80"
"3,698.90","3,713.80","3,893.70","3,551.80",169.36,16,9,2017,5,"3,698.90"
"3,689.60","3,698.90","3,796.60","3,485.80",96.07,17,9,2017,6,"3,689.60"
"4,100.30","3,689.60","4,122.80","3,689.00",147.93,18,9,2017,0,"4,100.30"
"3,908.00","4,100.30","4,120.70","3,852.20",123.22,19,9,2017,1,"3,908.00"
"3,882.20","3,908.00","4,053.00","3,846.80",86.65,20,9,2017,2,"3,882.20"
"3,617.30","3,882.20","3,912.80","3,576.50",145.13,21,9,2017,3,"3,617.30"
